x,y,z,hits,i,j,k
-11.347086906433105,-87.77747344970703,17.622440338134766,28.0,0,1,2
-11.347086906433105,-87.95484924316406,18.98586654663086,28.0,1,3,4
-12.696197509765625,-87.77747344970703,18.98586654663086,28.0,2,1,4
-11.347086906433105,-87.96151733398438,21.73978614807129,28.0,3,5,6
-12.518411636352539,-87.77747344970703,21.73978614807129,28.0,4,3,6
-11.347086906433105,-87.94922637939453,24.49370765686035,28.0,5,7,6
-12.284283638000488,-87.77747344970703,24.49370765686035,28.0,1,0,8
-11.347086906433105,-87.77747344970703,25.7656307220459,28.0,8,9,10
-9.971166610717773,-87.77747344970703,18.98586654663086,28.0,8,10,1
-8.574560165405273,-87.77747344970703,20.361421585083008,28.0,1,10,3
-8.574560165405273,-87.95831298828125,21.73978614807129,28.0,10,11,3
-8.574560165405273,-87.9966812133789,24.49370765686035,28.0,3,11,5
-10.01913070678711,-87.77747344970703,27.24762725830078,28.0,12,7,5
-8.574560165405273,-87.99891662597656,27.24762725830078,28.0,12,5,13
-8.574560165405273,-87.97486114501953,30.001548767089844,28.0,13,5,11
-9.700373649597168,-87.77747344970703,30.001548767089844,28.0,13,14,15
-8.574560165405273,-87.9542236328125,32.755470275878906,28.0,12,13,15
-9.468171119689941,-87.77747344970703,32.755470275878906,28.0,14,16,17
-8.574560165405273,-87.77747344970703,33.940120697021484,28.0,15,14,17
-7.27830171585083,-87.77747344970703,21.73978614807129,28.0,16,18,17
-5.802033424377441,-87.77747344970703,23.20590591430664,28.0,10,9,19
-5.802033424377441,-87.95758056640625,24.49370765686035,28.0,19,20,21
-5.802033424377441,-88.00599670410156,27.24762725830078,28.0,19,21,10
-5.802033424377441,-88.04906463623047,30.001548767089844,28.0,10,21,11
-5.802033424377441,-88.042724609375,32.755470275878906,28.0,21,22,11
-7.16730260848999,-87.77747344970703,35.5093879699707,28.0,11,22,13
-5.802033424377441,-88.00953674316406,35.5093879699707,28.0,22,23,13
-5.802033424377441,-87.77747344970703,37.03963088989258,28.0,13,23,14
-4.629705905914307,-87.77747344970703,24.49370765686035,28.0,23,24,14
-4.2818989753723145,-87.77747344970703,27.24762725830078,28.0,14,24,16
-3.0295066833496094,-87.77747344970703,28.600980758666992,28.0,25,18,16
-3.0295066833496094,-87.97154235839844,30.001548767089844,28.0,25,16,26
-3.0295066833496094,-88.04364776611328,32.755470275878906,28.0,26,16,24
-3.0295066833496094,-88.08717346191406,35.5093879699707,28.0,26,27,25
-4.4677839279174805,-87.77747344970703,38.263309478759766,28.0,21,20,28
-3.0295066833496094,-87.97505950927734,38.263309478759766,28.0,22,21,28
-3.0295066833496094,-87.77747344970703,39.299591064453125,28.0,29,22,28
-1.7433072328567505,-87.77747344970703,30.001548767089844,28.0,29,30,31
-1.4206061363220215,-87.77747344970703,32.755470275878906,28.0,29,31,22
-1.3826444149017334,-87.77747344970703,35.5093879699707,28.0,22,31,23
-2.0052812099456787,-87.77747344970703,38.263309478759766,28.0,31,32,23
-25.209720611572266,-85.01007843017578,12.906145095825195,28.0,23,32,24
-25.209720611572266,-85.27352142333984,13.478025436401367,28.0,32,33,24
-25.78191566467285,-85.01007843017578,13.478025436401367,28.0,24,33,26
-25.209720611572266,-85.536376953125,16.231945037841797,28.0,34,27,26
-26.398820877075195,-85.01007843017578,16.231945037841797,28.0,34,26,35
-25.209720611572266,-85.45487213134766,18.98586654663086,28.0,35,26,33
-26.237411499023438,-85.01007843017578,18.98586654663086,28.0,35,36,34
-25.209720611572266,-85.35305786132812,21.73978614807129,28.0,31,30,37
-26.0166015625,-85.01007843017578,21.73978614807129,28.0,32,31,37
-25.209720611572266,-85.2583236694336,24.49370765686035,28.0,38,32,37
-25.802963256835938,-85.01007843017578,24.49370765686035,28.0,33,32,38
-25.209720611572266,-85.22265625,27.24762725830078,28.0,39,33,38
-25.71051597595215,-85.01007843017578,27.24762725830078,28.0,35,33,39
-25.209720611572266,-85.01007843017578,28.51013946533203,28.0,40,35,39
-22.437192916870117,-85.01007843017578,11.232638359069824,28.0,35,40,36
-22.437192916870117,-86.21829223632812,13.478025436401367,28.0,41,42,43
-22.437192916870117,-86.51527404785156,16.231945037841797,28.0,42,44,45
-22.437192916870117,-86.37305450439453,18.98586654663086,28.0,43,42,45
-22.437192916870117,-86.2071304321289,21.73978614807129,28.0,44,46,47
-22.437192916870117,-86.03749084472656,24.49370765686035,28.0,45,44,47
-22.437192916870117,-85.86608123779297,27.24762725830078,28.0,46,48,49
-24.43243408203125,-85.01007843017578,30.001548767089844,28.0,47,46,49
-22.437192916870117,-85.69464111328125,30.001548767089844,28.0,48,50,51
-22.437192916870117,-85.52440643310547,32.755470275878906,28.0,49,48,51
-24.062641143798828,-85.01007843017578,32.755470275878906,28.0,50,52,53
